Name,Artist,Album,Genre,Length,Path,UID
When I Fall,Barenaked Ladies,Born On A Pirate Ship,Alternative,4:4,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Barenaked Ladies\Born On A Pirate Ship\05 When I Fall.mp3,0
Yellow Submarine,"Beatles, The",Revolver,Rock,2:40,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Beatles, The\Revolver\06 Yellow Submarine.mp3",0
03 Everywhere,Billy Bragg,Don't Try This At Home,Unknown,5:0,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Billy Bragg\Don't Try This At Home\03 Everywhere.mp3,0
Heart Like A Wheel,Billy Bragg,Sexuality,Alternative & Punk,2:45,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Billy Bragg\Sexuality\05 Heart Like A Wheel.mp3,0
01 Walt Whitman's Niece,Billy Bragg_Wilco,Mermaid Avenue,Unknown,3:53,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Billy Bragg_Wilco\Mermaid Avenue\01 Walt Whitman's Niece.mp3,0
02 California Stars,Billy Bragg_Wilco,Mermaid Avenue,Unknown,4:58,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Billy Bragg_Wilco\Mermaid Avenue\02 California Stars.mp3,1
07 At My Window Sad And Lonely,Billy Bragg_Wilco,Mermaid Avenue,Unknown,3:27,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Billy Bragg_Wilco\Mermaid Avenue\07 At My Window Sad And Lonely.mp3,2
10 I Guess I Planted,Billy Bragg_Wilco,Mermaid Avenue,Unknown,3:33,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Billy Bragg_Wilco\Mermaid Avenue\10 I Guess I Planted.mp3,3
Firstdate,Blink 182,Greatest Hits Deluxe Edition,Alternative,2:51,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Blink 182\Greatest Hits Deluxe Edition\Firstdate.mp3,0
I Still Remember,Bloc Party,A Weekend In The City,Indie Rock,4:36,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Bloc Party\A Weekend In The City\09 I Still Remember.mp3,0
Sunday,Bloc Party,A Weekend In The City,Indie Rock,5:2,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Bloc Party\A Weekend In The City\10 Sunday.mp3,1
Changing Of The Guards,Bob Dylan,Street Legal,Folk Rock,7:4,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Bob Dylan\Street Legal\01 Changing Of The Guards.mp3,0
Why Does It Always Rain On Me,Coldplay,Cover,Other,4:28,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Coldplay\Cover\Why Does It Always Rain On Me.mp3,0
Showdown,Homestuck,Alternia,Unknown,1:43,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Alternia\02 Showdown.mp3,0
"dESPERADO ROCKET CHAIRS,",Homestuck,Alternia,Unknown,1:37,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Alternia\08 dESPERADO ROCKET CHAIRS,.mp3",1
Skaian Summoning,Homestuck,Alternia,Unknown,2:22,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Alternia\12 Skaian Summoning.mp3,2
Keepers (Bonus),Homestuck,Alternia,Unknown,1:55,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Alternia\16 Keepers (Bonus).mp3,3
Otherside,Red Hot Chili Peppers,Big Shiny Tunes 5,Alternative & Punk,4:15,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Big Shiny Tunes 5\12 Otherside.mp3,0
The Great Compromise,John Prine,Great Days: Anthology (Disc 1),Folk,4:56,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Great Days_ Anthology (Disc 1)\1-09 The Great Compromise.mp3,0
Upward Movement (Dave Owns),Homestuck,Homestuck Vol. 2,Unknown,4:20,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Homestuck Vol. 2\03 Upward Movement (Dave Owns).mp3,0
Infected,The The,Infected,Alternative & Punk,4:30,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Infected\01 Infected.mp3,0
Highway Patrolman,Johnny Cash,"Love, God, Murder (Disc 3 of 3) - Murder",Country,5:22,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\Love, God, Murder (Disc 3 of 3) - Murder\14 Highway Patrolman.mp3",0
Why Aye Man,Mark Knopfler,The Ragpicker's Dream,Rock,6:14,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Compilations\The Ragpicker's Dream\1-01 Why Aye Man.mp3,0
Karma Chameleon,Culture Club,1980's Music,Classic Rock,4:15,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Culture Club\1980's Music\Karma Chameleon.mp3,0
Superfreak (Rocasound Revamp) - Rick James,Devotchka,Little Miss Sunshine soundtrack,Soul and R&B,4:13,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Devotchka\Little Miss Sunshine soundtrack\12 Superfreak (Rocasound Revamp) - R.mp3,0
One Last Vow,DeVotchKa,Una Volta,Rock,4:56,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Devotchka\Una Volta\05 One Last Vow.mp3,0
07 The Man's Too Strong,Dire Straits,Brothers In Arms,Unknown,4:40,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Brothers In Arms\07 The Man's Too Strong.mp3,0
01 Down To The Waterline,Dire Straits,Dire Straits,Unknown,0:57,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\01 Down To The Waterline.mp3,0
02 Water Of Love,Dire Straits,Dire Straits,Unknown,5:26,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\02 Water Of Love.mp3,1
03 Setting Me Up,Dire Straits,Dire Straits,Unknown,3:19,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\03 Setting Me Up.mp3,2
04 Six Blade Knife,Dire Straits,Dire Straits,Unknown,4:13,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\04 Six Blade Knife.mp3,3
05 Southbound Again,Dire Straits,Dire Straits,Unknown,2:59,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\05 Southbound Again.mp3,4
06 Sultans Of Swing,Dire Straits,Dire Straits,Unknown,5:48,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\06 Sultans Of Swing.mp3,5
07 In The Gallery,Dire Straits,Dire Straits,Unknown,6:16,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\07 In The Gallery.mp3,6
